ASK RESULTS,,,,,,,
"Each row of the raw data on the Ask and Framing tabs refers, respectively to: (1) a potential Ask action e.g., ""contact""=PERFORM on the Ask tab; or (2) a potential Framing action, e.g., ""win""=GAIN on the Framing tab. Potential Asks and Framings are extracted from a set of anonymized emails---a pool of Panacea team members' collected suspected scam/impersonation emails---using dependency/constituency parsing and semantic role labeling (SRL). If an Ask (GIVE, PERFORM) or Framing (GAIN, LOSE) is assigned by Panacea Ask Detection, the cell will indicate this assignment, e.g., ""Ask:PERFORM Verb:contact"".  On the TopAsk tab: (3) all top ask assignments are marked ""Top:X"". For all three tabs, each column (0-6) is an experimental condition, such as ""no LCS, no CatVar, No Verbal(VB) processing, No Structural(URL) processing"". If the word ""No"" is in front of a condition, it means it is not used in the experiment; if ""No"" is absent, then the condition is used in the experiment.  Finally, for all three tabs, each cell is marked as one of four outcomes of the Panacea Ask/Framing Detection system, measured against Ground Truth: True Positive (TP), True Negative (TN), False Positive (FP), False Negative (FN). Ground truth is available on the Ask Detection website. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,
,,,,,,,
CASES,,,,,,,
Case Index,Case,,,,,,
0,No LCS No Catvar No VB No URL,,,,,,
1,LCS No Catvar No VB No URL,,,,,,
2,LCS+ No Catvar No VB No URL,,,,,,
3,LCS+ No Catvar VB No URL,,,,,,
4,LCS+ Catvar VB No URL,,,,,,
5,LCS+ Catvar VB Basic URL,,,,,,
6,LCS+ Catvar VB Advanced URL,,,,,,
,,,,,,,
RAW DATA,,,,,,,
Case Index-->,0,1,2,3,4,5,6
1,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck
2,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am
3,FN: 1 Ask: Verb:help,FN: 1 Ask: Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help
4,FN: 2 Ask: Verb:sending,FP: 1 Ask:GIVE Verb:sending,TP: 2 Ask:PERFORM Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending
5,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello
6,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow
7,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation,TN: 5 Ask: Verb:congratulation
8,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform,TN: 6 Ask: Verb:inform
9,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is,TN: 7 Ask: Verb:is
10,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have,TN: 8 Ask: Verb:have
11,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won,TN: 9 Ask: Verb:won
12,FN: 3 Ask: Verb:contact,FN: 2 Ask: Verb:contact,TP: 3 Ask:PERFORM Verb:contact,TP: 2 Ask:PERFORM Verb:contact,TP: 2 Ask:PERFORM Verb:contact,TP: 2 Ask:PERFORM Verb:contact,TP: 2 Ask:PERFORM Verb:contact
13,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.,TN: 10 Ask: Verb:.
14,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com,TN: 11 Ask: Verb:jw11@example.com
15,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours,TN: 12 Ask: Verb:yours
16,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--,TN: 13 Ask: Verb:--
17,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director,TN: 14 Ask: Verb:director
18,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala,TN: 15 Ask: Verb:ocala
19,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello,TN: 16 Ask: Verb:hello
20,TN: 17 Ask: Verb:sent,FP: 2 Ask:GIVE Verb:sent,FP: 1 Ask:PERFORM Verb:sent,TN: 17 Ask: Verb:sent,TN: 17 Ask: Verb:sent,TN: 17 Ask: Verb:sent,TN: 17 Ask: Verb:sent
21,TN: 18 Ask: Verb:url,TN: 17 Ask: Verb:url,TN: 17 Ask: Verb:url,TN: 18 Ask: Verb:url,TN: 18 Ask: Verb:url,TN: 18 Ask: Verb:url,TN: 18 Ask: Verb:url
22,TN: 19 Ask: Verb:signing,FP: 3 Ask:PERFORM Verb:signing,FP: 2 Ask:PERFORM Verb:signing,TN: 19 Ask: Verb:signing,TN: 19 Ask: Verb:signing,TN: 19 Ask: Verb:signing,TN: 19 Ask: Verb:signing
23,FN: 4 Ask: Verb:use,FN: 3 Ask: Verb:use,FN: 1 Ask: Verb:use,FN: 2 Ask: Verb:use,FN: 2 Ask: Verb:use,FN: 2 Ask: Verb:use,FN: 2 Ask: Verb:use
24,TN: 20 Ask: Verb:following,TN: 18 Ask: Verb:following,TN: 18 Ask: Verb:following,TN: 20 Ask: Verb:following,TN: 20 Ask: Verb:following,TN: 20 Ask: Verb:following,TN: 20 Ask: Verb:following
25,FP: 1 Ask:PERFORM Verb:complete,TN: 19 Ask: Verb:complete,TN: 19 Ask: Verb:complete,TN: 21 Ask: Verb:complete,TN: 21 Ask: Verb:complete,TN: 21 Ask: Verb:complete,TN: 21 Ask: Verb:complete
26,TN: 21 Ask: Verb:15966,TN: 20 Ask: Verb:15966,TN: 20 Ask: Verb:15966,TN: 22 Ask: Verb:15966,TN: 22 Ask: Verb:15966,TN: 22 Ask: Verb:15966,TN: 22 Ask: Verb:15966
27,TN: 22 Ask: Verb:thanks,TN: 21 Ask: Verb:thanks,TN: 21 Ask: Verb:thanks,TN: 23 Ask: Verb:thanks,TN: 23 Ask: Verb:thanks,TN: 23 Ask: Verb:thanks,TN: 23 Ask: Verb:thanks
28,TN: 23 Ask: Verb:newspost,TN: 22 Ask: Verb:newspost,TN: 22 Ask: Verb:newspost,TN: 24 Ask: Verb:newspost,TN: 24 Ask: Verb:newspost,TN: 24 Ask: Verb:newspost,TN: 24 Ask: Verb:newspost
29,TN: 24 Ask: Verb:ask,FP: 4 Ask:PERFORM Verb:ask,FP: 3 Ask:PERFORM Verb:ask,FP: 1 Ask:PERFORM Verb:ask,FP: 1 Ask:PERFORM Verb:ask,FP: 1 Ask:PERFORM Verb:ask,FP: 1 Ask:PERFORM Verb:ask
30,TN: 25 Ask: Verb:go,TN: 23 Ask: Verb:go,TN: 23 Ask: Verb:go,TN: 25 Ask: Verb:go,TN: 25 Ask: Verb:go,TN: 25 Ask: Verb:go,TN: 25 Ask: Verb:go
31,TN: 26 Ask: Verb:do,TN: 24 Ask: Verb:do,TN: 24 Ask: Verb:do,TN: 26 Ask: Verb:do,TN: 26 Ask: Verb:do,TN: 26 Ask: Verb:do,TN: 26 Ask: Verb:do
32,FN: 5 Ask: Verb:trust,TP: 1 Ask:GIVE Verb:trust,TP: 4 Ask:GIVE Verb:trust,TP: 3 Ask:GIVE Verb:trust,TP: 3 Ask:GIVE Verb:trust,TP: 3 Ask:GIVE Verb:trust,TP: 3 Ask:GIVE Verb:trust
33,TN: 27 Ask: Verb:employees,TN: 25 Ask: Verb:employees,TN: 25 Ask: Verb:employees,TN: 27 Ask: Verb:employees,TN: 27 Ask: Verb:employees,TN: 27 Ask: Verb:employees,TN: 27 Ask: Verb:employees
34,TN: 28 Ask: Verb:able,TN: 26 Ask: Verb:able,TN: 26 Ask: Verb:able,TN: 28 Ask: Verb:able,TN: 28 Ask: Verb:able,TN: 28 Ask: Verb:able,TN: 28 Ask: Verb:able
35,TN: 29 Ask: Verb:be,TN: 27 Ask: Verb:be,TN: 27 Ask: Verb:be,TN: 29 Ask: Verb:be,TN: 29 Ask: Verb:be,TN: 29 Ask: Verb:be,TN: 29 Ask: Verb:be
36,TN: 30 Ask: Verb:get,TN: 28 Ask: Verb:get,TN: 28 Ask: Verb:get,TN: 30 Ask: Verb:get,TN: 30 Ask: Verb:get,TN: 30 Ask: Verb:get,TN: 30 Ask: Verb:get
37,FN: 6 Ask: Verb:check,FN: 4 Ask: Verb:check,TP: 5 Ask:PERFORM Verb:check,TP: 4 Ask:PERFORM Verb:check,TP: 4 Ask:PERFORM Verb:check,TP: 4 Ask:PERFORM Verb:check,TP: 4 Ask:PERFORM Verb:check
38,TN: 31 Ask: Verb:work,TN: 29 Ask: Verb:work,TN: 29 Ask: Verb:work,TN: 31 Ask: Verb:work,TN: 31 Ask: Verb:work,TN: 31 Ask: Verb:work,TN: 31 Ask: Verb:work
39,FN: 7 Ask: Verb:copy,FN: 5 Ask: Verb:copy,TP: 6 Ask:PERFORM Verb:copy,TP: 5 Ask:PERFORM Verb:copy,TP: 5 Ask:PERFORM Verb:copy,TP: 5 Ask:PERFORM Verb:copy,TP: 5 Ask:PERFORM Verb:copy
40,FN: 8 Ask: Verb:paste,FN: 6 Ask: Verb:paste,TP: 7 Ask:PERFORM Verb:paste,TP: 6 Ask:PERFORM Verb:paste,TP: 6 Ask:PERFORM Verb:paste,TP: 6 Ask:PERFORM Verb:paste,TP: 6 Ask:PERFORM Verb:paste
41,TN: 32 Ask: Verb:following,TN: 30 Ask: Verb:following,TN: 30 Ask: Verb:following,TN: 32 Ask: Verb:following,TN: 32 Ask: Verb:following,TN: 32 Ask: Verb:following,TN: 32 Ask: Verb:following
42,TN: 33 Ask: Verb:url,TN: 31 Ask: Verb:url,TN: 31 Ask: Verb:url,TN: 33 Ask: Verb:url,TN: 33 Ask: Verb:url,TN: 33 Ask: Verb:url,TN: 33 Ask: Verb:url
43,TN: 34 Ask: Verb:does,TN: 32 Ask: Verb:does,TN: 32 Ask: Verb:does,TN: 34 Ask: Verb:does,TN: 34 Ask: Verb:does,TN: 34 Ask: Verb:does,TN: 34 Ask: Verb:does
44,TN: 35 Ask: Verb:regards,TN: 33 Ask: Verb:regards,TN: 33 Ask: Verb:regards,TN: 35 Ask: Verb:regards,TN: 35 Ask: Verb:regards,TN: 35 Ask: Verb:regards,TN: 35 Ask: Verb:regards
45,TN: 36 Ask: Verb:richard,TN: 34 Ask: Verb:richard,TN: 34 Ask: Verb:richard,TN: 36 Ask: Verb:richard,TN: 36 Ask: Verb:richard,TN: 36 Ask: Verb:richard,TN: 36 Ask: Verb:richard
46,FN: 9 Ask: Verb:sign,TP: 2 Ask:PERFORM Verb:sign,TP: 8 Ask:PERFORM Verb:sign,TP: 7 Ask:PERFORM Verb:sign,TP: 7 Ask:PERFORM Verb:sign,TP: 7 Ask:PERFORM Verb:sign,TP: 7 Ask:PERFORM Verb:sign
47,FN: 10 Ask: Verb:receive,FN: 7 Ask: Verb:receive,TP: 9 Ask:PERFORM Verb:receive,TP: 8 Ask:PERFORM Verb:receive,TP: 8 Ask:PERFORM Verb:receive,TP: 8 Ask:PERFORM Verb:receive,TP: 8 Ask:PERFORM Verb:receive
48,TN: 37 Ask: Verb:be,TN: 35 Ask: Verb:be,TN: 35 Ask: Verb:be,TN: 37 Ask: Verb:be,TN: 37 Ask: Verb:be,TN: 37 Ask: Verb:be,TN: 37 Ask: Verb:be
49,TN: 38 Ask: Verb:notifed,TN: 36 Ask: Verb:notifed,TN: 36 Ask: Verb:notifed,TN: 38 Ask: Verb:notifed,TN: 38 Ask: Verb:notifed,TN: 38 Ask: Verb:notifed,TN: 38 Ask: Verb:notifed
50,TN: 39 Ask: Verb:alerts,TN: 37 Ask: Verb:alerts,TN: 37 Ask: Verb:alerts,TN: 39 Ask: Verb:alerts,TN: 39 Ask: Verb:alerts,TN: 39 Ask: Verb:alerts,TN: 39 Ask: Verb:alerts
51,TN: 40 Ask: Verb:service,TN: 38 Ask: Verb:service,TN: 38 Ask: Verb:service,TN: 40 Ask: Verb:service,TN: 40 Ask: Verb:service,TN: 40 Ask: Verb:service,TN: 40 Ask: Verb:service
52,TN: 41 Ask: Verb:is,TN: 39 Ask: Verb:is,TN: 39 Ask: Verb:is,TN: 41 Ask: Verb:is,TN: 41 Ask: Verb:is,TN: 41 Ask: Verb:is,TN: 41 Ask: Verb:is
53,FN: 11 Ask: Verb:unsubscribe,FN: 8 Ask: Verb:unsubscribe,TP: 10 Ask:PERFORM Verb:unsubscribe,TP: 9 Ask:PERFORM Verb:unsubscribe,TP: 9 Ask:PERFORM Verb:unsubscribe,TP: 9 Ask:PERFORM Verb:unsubscribe,TP: 9 Ask:PERFORM Verb:unsubscribe
54,TN: 42 Ask: Verb:receive,TN: 40 Ask: Verb:receive,FP: 4 Ask:PERFORM Verb:receive,FP: 2 Ask:PERFORM Verb:receive,FP: 2 Ask:PERFORM Verb:receive,FP: 2 Ask:PERFORM Verb:receive,FP: 2 Ask:PERFORM Verb:receive
55,FN: 12 Ask: Verb:reply,FN: 9 Ask: Verb:reply,TP: 11 Ask:PERFORM Verb:reply,TP: 10 Ask:PERFORM Verb:reply,TP: 10 Ask:PERFORM Verb:reply,TP: 10 Ask:PERFORM Verb:reply,TP: 10 Ask:PERFORM Verb:reply
56,TN: 43 Ask: Verb:thank,TN: 41 Ask: Verb:thank,TN: 40 Ask: Verb:thank,TN: 42 Ask: Verb:thank,TN: 42 Ask: Verb:thank,TN: 42 Ask: Verb:thank,TN: 42 Ask: Verb:thank
57,TN: 44 Ask: Verb:med,TN: 42 Ask: Verb:med,TN: 41 Ask: Verb:med,TN: 43 Ask: Verb:med,TN: 43 Ask: Verb:med,TN: 43 Ask: Verb:med,TN: 43 Ask: Verb:med
58,TN: 45 Ask: Verb:larry,TN: 43 Ask: Verb:larry,TN: 42 Ask: Verb:larry,TN: 44 Ask: Verb:larry,TN: 44 Ask: Verb:larry,TN: 44 Ask: Verb:larry,TN: 44 Ask: Verb:larry
59,TN: 46 Ask: Verb:hope,TN: 44 Ask: Verb:hope,TN: 43 Ask: Verb:hope,TN: 45 Ask: Verb:hope,TN: 45 Ask: Verb:hope,TN: 45 Ask: Verb:hope,TN: 45 Ask: Verb:hope
60,TN: 47 Ask: Verb:enjoy,TN: 45 Ask: Verb:enjoy,TN: 44 Ask: Verb:enjoy,TN: 46 Ask: Verb:enjoy,TN: 46 Ask: Verb:enjoy,TN: 46 Ask: Verb:enjoy,TN: 46 Ask: Verb:enjoy
61,TN: 48 Ask: Verb:have,TN: 46 Ask: Verb:have,TN: 45 Ask: Verb:have,TN: 47 Ask: Verb:have,TN: 47 Ask: Verb:have,TN: 47 Ask: Verb:have,TN: 47 Ask: Verb:have
62,TN: 49 Ask: Verb:250,TN: 47 Ask: Verb:250,TN: 46 Ask: Verb:250,TN: 48 Ask: Verb:250,TN: 48 Ask: Verb:250,TN: 48 Ask: Verb:250,TN: 48 Ask: Verb:250
63,TN: 50 Ask: Verb:$,TN: 48 Ask: Verb:$,TN: 47 Ask: Verb:$,TN: 49 Ask: Verb:$,TN: 49 Ask: Verb:$,TN: 49 Ask: Verb:$,TN: 49 Ask: Verb:$
64,TN: 51 Ask: Verb:card,TN: 49 Ask: Verb:card,TN: 48 Ask: Verb:card,TN: 50 Ask: Verb:card,TN: 50 Ask: Verb:card,TN: 50 Ask: Verb:card,TN: 50 Ask: Verb:card
65,TN: 52 Ask: Verb:have,TN: 50 Ask: Verb:have,TN: 49 Ask: Verb:have,TN: 51 Ask: Verb:have,TN: 51 Ask: Verb:have,TN: 51 Ask: Verb:have,TN: 51 Ask: Verb:have
66,FN: 13 Ask: Verb:sign-up,FN: 10 Ask: Verb:sign-up,FN: 2 Ask: Verb:sign-up,FN: 3 Ask: Verb:sign-up,FN: 3 Ask: Verb:sign-up,FN: 3 Ask: Verb:sign-up,FN: 3 Ask: Verb:sign-up
67,FN: 14 Ask: Verb:redeem,FN: 11 Ask: Verb:redeem,FN: 3 Ask: Verb:redeem,FN: 4 Ask: Verb:redeem,FN: 4 Ask: Verb:redeem,FN: 4 Ask: Verb:redeem,FN: 4 Ask: Verb:redeem
68,TN: 53 Ask: Verb:code,TN: 51 Ask: Verb:code,TN: 50 Ask: Verb:code,TN: 52 Ask: Verb:code,TN: 52 Ask: Verb:code,TN: 52 Ask: Verb:code,TN: 52 Ask: Verb:code
69,TN: 54 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 52 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 51 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 53 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 53 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 53 Ask: Verb:8jdk-dfs46w4vs3-54418,TN: 53 Ask: Verb:8jdk-dfs46w4vs3-54418
70,TN: 55 Ask: Verb:added,TN: 53 Ask: Verb:added,TN: 52 Ask: Verb:added,TN: 54 Ask: Verb:added,TN: 54 Ask: Verb:added,TN: 54 Ask: Verb:added,TN: 54 Ask: Verb:added
71,TN: 56 Ask: Verb:applied,TN: 54 Ask: Verb:applied,TN: 53 Ask: Verb:applied,TN: 55 Ask: Verb:applied,TN: 55 Ask: Verb:applied,TN: 55 Ask: Verb:applied,TN: 55 Ask: Verb:applied
72,TN: 57 Ask: Verb:be,TN: 55 Ask: Verb:be,TN: 54 Ask: Verb:be,TN: 56 Ask: Verb:be,TN: 56 Ask: Verb:be,TN: 56 Ask: Verb:be,TN: 56 Ask: Verb:be
73,TN: 58 Ask: Verb:be,TN: 56 Ask: Verb:be,TN: 55 Ask: Verb:be,TN: 57 Ask: Verb:be,TN: 57 Ask: Verb:be,TN: 57 Ask: Verb:be,TN: 57 Ask: Verb:be
74,TN: 59 Ask: Verb:used,TN: 57 Ask: Verb:used,TN: 56 Ask: Verb:used,TN: 58 Ask: Verb:used,TN: 58 Ask: Verb:used,TN: 58 Ask: Verb:used,TN: 58 Ask: Verb:used
75,TN: 60 Ask: Verb:buy,TN: 58 Ask: Verb:buy,TN: 57 Ask: Verb:buy,TN: 59 Ask: Verb:buy,TN: 59 Ask: Verb:buy,TN: 59 Ask: Verb:buy,TN: 59 Ask: Verb:buy
76,TN: 61 Ask: Verb:required,TN: 59 Ask: Verb:required,TN: 58 Ask: Verb:required,TN: 60 Ask: Verb:required,TN: 60 Ask: Verb:required,TN: 60 Ask: Verb:required,TN: 60 Ask: Verb:required
77,TN: 62 Ask: Verb:redeemed,FP: 5 Ask:PERFORM Verb:redeemed,FP: 5 Ask:PERFORM Verb:redeemed,TN: 61 Ask: Verb:redeemed,TN: 61 Ask: Verb:redeemed,TN: 61 Ask: Verb:redeemed,TN: 61 Ask: Verb:redeemed
78,TN: 63 Ask: Verb:applied,TN: 60 Ask: Verb:applied,TN: 59 Ask: Verb:applied,TN: 62 Ask: Verb:applied,TN: 62 Ask: Verb:applied,TN: 62 Ask: Verb:applied,TN: 62 Ask: Verb:applied
79,TN: 64 Ask: Verb:be,TN: 61 Ask: Verb:be,TN: 60 Ask: Verb:be,TN: 63 Ask: Verb:be,TN: 63 Ask: Verb:be,TN: 63 Ask: Verb:be,TN: 63 Ask: Verb:be
80,FN: 15 Ask: Verb:do,FN: 12 Ask: Verb:do,FN: 4 Ask: Verb:do,FN: 5 Ask: Verb:do,FN: 5 Ask: Verb:do,FN: 5 Ask: Verb:do,FN: 5 Ask: Verb:do
81,TN: 65 Ask: Verb:want,FP: 6 Ask:GIVE Verb:want,FP: 6 Ask:GIVE Verb:want,FP: 3 Ask:GIVE Verb:want,FP: 3 Ask:GIVE Verb:want,FP: 3 Ask:GIVE Verb:want,FP: 3 Ask:GIVE Verb:want
82,TN: 66 Ask: Verb:use,TN: 62 Ask: Verb:use,TN: 61 Ask: Verb:use,TN: 64 Ask: Verb:use,TN: 64 Ask: Verb:use,TN: 64 Ask: Verb:use,TN: 64 Ask: Verb:use
83,FN: 16 Ask: Verb:reference,FN: 13 Ask: Verb:reference,FN: 5 Ask: Verb:reference,FN: 6 Ask: Verb:reference,TP: 11 Ask:PERFORM Verb:reference,TP: 11 Ask:PERFORM Verb:reference,TP: 11 Ask:PERFORM Verb:reference
84,TN: 67 Ask: Verb:experience,TN: 63 Ask: Verb:experience,TN: 62 Ask: Verb:experience,TN: 65 Ask: Verb:experience,TN: 65 Ask: Verb:experience,TN: 65 Ask: Verb:experience,TN: 65 Ask: Verb:experience
85,TN: 68 Ask: Verb:using,TN: 64 Ask: Verb:using,TN: 63 Ask: Verb:using,TN: 66 Ask: Verb:using,TN: 66 Ask: Verb:using,TN: 66 Ask: Verb:using,TN: 66 Ask: Verb:using
86,FP: 2 Ask:GIVE Verb:providing,FP: 7 Ask:GIVE Verb:providing,TP: 12 Ask:PERFORM Verb:providing,FN: 7 Ask: Verb:providing,FN: 6 Ask: Verb:providing,FN: 6 Ask: Verb:providing,FN: 6 Ask: Verb:providing
87,TN: 69 Ask: Verb:following,TN: 65 Ask: Verb:following,TN: 64 Ask: Verb:following,TN: 67 Ask: Verb:following,TN: 67 Ask: Verb:following,TN: 67 Ask: Verb:following,TN: 67 Ask: Verb:following
88,TN: 70 Ask: Verb:number,TN: 66 Ask: Verb:number,TN: 65 Ask: Verb:number,TN: 68 Ask: Verb:number,TN: 68 Ask: Verb:number,TN: 68 Ask: Verb:number,TN: 68 Ask: Verb:number
89,TN: 71 Ask: Verb:number,TN: 67 Ask: Verb:number,TN: 66 Ask: Verb:number,TN: 69 Ask: Verb:number,TN: 69 Ask: Verb:number,TN: 69 Ask: Verb:number,TN: 69 Ask: Verb:number
